evaluation_context,target,oisst_matching_variant,feature_set,model_family,model_variant,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,false_positives,false_negatives,true_positives,true_negatives
full_sample,decline_event_next,nearest,canopy_current_only,Logistic Regression,cost_sensitive,200,134,0.67,0.7272727272727273,0.8955223880597015,0.802675585284281,0.8559201141226819,0.8538538666243745,0.7477385798281321,45,14,120,21
full_sample,decline_event_next,nearest,canopy_current_only,SVM,cost_sensitive,200,134,0.67,0.0,0.0,0.0,0.0,0.8879279442326676,0.7675260063319764,0,134,0,66
full_sample,decline_event_next,nearest,canopy_current_only,Random Forest,cost_sensitive,200,134,0.67,0.8870967741935484,0.41044776119402987,0.5612244897959183,0.459866220735786,0.8477981688015068,0.7103120759837178,7,79,55,59
full_sample,decline_event_next,nearest,canopy_current_only,XGBoost,cost_sensitive,200,134,0.67,0.86,0.6417910447761194,0.7350427350427351,0.6761006289308176,0.886448710312682,0.7782677521483492,14,48,86,52
full_sample,decline_event_next,nearest,canopy_current_only,LightGBM,cost_sensitive,200,134,0.67,0.8602150537634409,0.5970149253731343,0.7048458149779736,0.6359300476947536,0.8747297008915589,0.75582315694256,13,54,80,53
full_sample,decline_event_next,nearest,environment_only,Logistic Regression,cost_sensitive,200,134,0.67,0.7355371900826446,0.664179104477612,0.6980392156862745,0.6773211567732116,0.7912853378137127,0.6239823609226595,32,45,89,34
full_sample,decline_event_next,nearest,environment_only,SVM,cost_sensitive,200,134,0.67,0.5476190476190477,0.17164179104477612,0.26136363636363635,0.19896193771626297,0.6605482322722145,0.5066711895070104,19,111,23,47
full_sample,decline_event_next,nearest,environment_only,Random Forest,cost_sensitive,200,134,0.67,0.5,0.08208955223880597,0.14102564102564102,0.0985663082437276,0.644898419612034,0.4484961555857079,11,123,11,55
full_sample,decline_event_next,nearest,environment_only,XGBoost,cost_sensitive,200,134,0.67,0.6086956521739131,0.31343283582089554,0.41379310344827586,0.34710743801652894,0.6885749612533051,0.48473541383989144,27,92,42,39
full_sample,decline_event_next,nearest,environment_only,LightGBM,cost_sensitive,200,134,0.67,0.6176470588235294,0.15671641791044777,0.25,0.18421052631578946,0.652741987732604,0.4766508367254636,13,113,21,53
full_sample,decline_event_next,nearest,canopy_current_plus_environment,Logistic Regression,cost_sensitive,200,134,0.67,0.7377049180327869,0.6716417910447762,0.703125,0.6838905775075987,0.7944125638568605,0.6289009497964723,32,44,90,34
full_sample,decline_event_next,nearest,canopy_current_plus_environment,SVM,cost_sensitive,200,134,0.67,0.6326530612244898,0.23134328358208955,0.33879781420765026,0.26495726495726496,0.6662491383445184,0.511420171867933,18,103,31,48
full_sample,decline_event_next,nearest,canopy_current_plus_environment,Random Forest,cost_sensitive,200,134,0.67,0.6842105263157895,0.09701492537313433,0.16993464052287582,0.11711711711711711,0.6913859255061845,0.5194482134780642,6,121,13,60
full_sample,decline_event_next,nearest,canopy_current_plus_environment,XGBoost,cost_sensitive,200,134,0.67,0.7710843373493976,0.47761194029850745,0.5898617511520737,0.5169628432956381,0.7530863979860922,0.5691994572591588,19,70,64,47
full_sample,decline_event_next,nearest,canopy_current_plus_environment,LightGBM,cost_sensitive,200,134,0.67,0.7678571428571429,0.3208955223880597,0.45263157894736844,0.36317567567567566,0.7364861757730112,0.5471506105834465,13,91,43,53
full_sample,decline_event_next,nearest,canopy_trajectory_only,Logistic Regression,cost_sensitive,200,134,0.67,0.72,0.5373134328358209,0.6153846153846154,0.5660377358490566,0.7688589878339427,0.5369742198100407,28,62,72,38
full_sample,decline_event_next,nearest,canopy_trajectory_only,SVM,cost_sensitive,200,134,0.67,0.0,0.0,0.0,0.0,0.8044595546764854,0.6399819086386251,0,134,0,66
full_sample,decline_event_next,nearest,canopy_trajectory_only,Random Forest,cost_sensitive,200,134,0.67,0.8225806451612904,0.3805970149253731,0.5204081632653061,0.42642140468227424,0.7808539737190183,0.6123925825418363,11,83,51,55
full_sample,decline_event_next,nearest,canopy_trajectory_only,XGBoost,cost_sensitive,200,134,0.67,0.7282608695652174,0.5,0.5929203539823009,0.5334394904458599,0.7919120680174068,0.5985979194934419,25,67,67,41
full_sample,decline_event_next,nearest,canopy_trajectory_only,LightGBM,cost_sensitive,200,134,0.67,0.7294117647058823,0.4626865671641791,0.5662100456621004,0.499194847020934,0.7728228970322968,0.5924920850293984,23,72,62,43
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory,Logistic Regression,cost_sensitive,200,134,0.67,0.7027027027027027,0.582089552238806,0.636734693877551,0.6027820710973725,0.7792169513210153,0.5518995929443691,33,56,78,33
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory,SVM,cost_sensitive,200,134,0.67,0.0,0.0,0.0,0.0,0.8227016819811118,0.7047715965626413,0,134,0,66
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory,Random Forest,cost_sensitive,200,134,0.67,0.8301886792452831,0.3283582089552239,0.47058823529411764,0.3735144312393888,0.8038663589932666,0.6788783355947535,9,90,44,57
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory,XGBoost,cost_sensitive,200,134,0.67,0.8222222222222222,0.5522388059701493,0.6607142857142857,0.5910543130990416,0.8285362531908547,0.6717548620533695,16,60,74,50
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory,LightGBM,cost_sensitive,200,134,0.67,0.8076923076923077,0.4701492537313433,0.5943396226415094,0.5130293159609121,0.7862519581309304,0.658525554047942,15,71,63,51
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,Logistic Regression,cost_sensitive,200,134,0.67,0.75,0.6716417910447762,0.7086614173228346,0.6859756097560976,0.7834464050958133,0.6200814111261872,30,44,90,36
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,SVM,cost_sensitive,200,134,0.67,0.723404255319149,0.2537313432835821,0.3756906077348066,0.2915951972555746,0.6865988361162367,0.5315468113975577,13,100,34,53
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,Random Forest,cost_sensitive,200,134,0.67,0.65,0.09701492537313433,0.16883116883116883,0.11690647482014388,0.6657587571552326,0.48202170963365,7,121,13,59
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,XGBoost,cost_sensitive,200,134,0.67,0.7681159420289855,0.39552238805970147,0.5221674876847291,0.4380165289256198,0.7248509730153879,0.566146540027137,16,81,53,50
full_sample,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,LightGBM,cost_sensitive,200,134,0.67,0.725,0.21641791044776118,0.3333333333333333,0.2517361111111111,0.6964880659251806,0.47659430122116686,11,105,29,55
